county name latitude longitude
TW1 基隆車站 25.132390 121.739312
TW2 台北車站 25.047731 121.517028
TW3 板橋車站 25.014466 121.463420
TW4 桃園火車站 24.989196 121.313534
TW5 竹北火車站 24.839052 121.009185
TW6 新竹火車站 24.801558 120.971639
TW7 苗栗火車站 24.570000 120.822322
TW8 台中火車站 24.136882 120.685079
TW9 彰化車站 24.081390 120.538335
TW10 集集火車站 23.826500 120.784793
TW11 斗六火車站 23.711744 120.541140
TW12 民雄火車站 23.555094 120.431545
TW13 嘉義車站 23.479109 120.441149
TW14 台南火車站 22.997179 120.212582
TW15 高雄火車站 22.639628 120.302692
TW16 屏東火車站 22.668857 120.485953
TW17 宜蘭車站 24.754492 121.758241
TW18 花蓮站 23.993909 121.600085
TW19 台東火車站 22.793699 121.123172
TW20 馬公航空站 23.564082 119.628157
TW21 金門航空站 24.431116 118.363492
TW22 南竿航空站 26.157351 119.956450
