countyIndex_from countyIndex_to distance_b0 distance_b1 time_b0 time_b1
1 1 0.63 1.59 6.9 1.96
1 2 15.02 0.73 26.39 0.44
1 3 7.74 1.22 28.86 0.79
1 4 14.25 1.03 31.46 0.61
1 5 120.26 -0.11 233.4 -1.61
1 6 -6.17 1.26 20.8 0.68
1 7 32.26 0.99 66.39 0.38
1 8 143.94 0.29 309.35 -1.13
1 9 -5.12 1.25 56.83 0.52
1 10 322.72 -0.37 266.44 -0.5
1 11 68.51 0.91 16.92 0.73
1 12 626.33 -1.47 739.85 -2.39
1 13 52.17 0.99 29.17 0.7
1 14 123.24 0.76 71.64 0.52
1 15 398.4 -0.07 251.9 -0.03
1 16 44.44 1.18 -69.07 1.06
1 17 36.14 0.85 45.61 0.77
1 18 57.13 1.01 70.23 1.16
1 19 -316.64 2.57 217.69 0.57
1 20 924.29 -1.31 1337.9 -2.62
2 1 15.5 0.7 26.8 0.45
2 2 0.22 1.48 5.52 2.26
2 3 6.7 1.28 22.55 1.14
2 4 10.33 1.15 20.4 1
2 5 32.67 0.92 71.3 0.3
2 6 15.58 1.03 -7.77 1.17
2 7 28.16 1 52.32 0.47
2 8 140.14 0.18 237.02 -0.87
2 9 13.75 1.14 30.05 0.67
2 10 282.8 -0.31 226.21 -0.38
2 11 66.11 0.88 0.76 0.83
2 12 537.81 -1.3 627.14 -2.13
2 13 152.95 0.48 -45.46 1.06
2 14 120.48 0.72 54.12 0.57
2 15 369.21 -0.06 210.57 0.07
2 16 48.83 1.14 -55.25 1.03
2 17 15.76 1.16 23.04 1.01
2 18 60.73 1.03 67.93 1.19
2 19 -197.79 2.17 209.04 0.58
2 20 853.11 -1.25 1205.06 -2.39
3 1 7.19 1.22 28.11 0.81
3 2 6.88 1.26 24.25 1.11
3 3 5.86 1.39 16.89 1.43
3 4 10.36 1.25 27.8 1.02
3 5 21.74 1.18 44.94 0.88
3 6 12.02 1.15 15.49 0.92
3 7 16 1.18 29.5 0.81
3 8 42.85 0.98 72.33 0.49
3 9 -3.7 1.27 -18.82 1.02
3 10 191.79 0.4 136.1 0.35
3 11 0.71 1.26 -49.53 1.14
3 12 181.34 0.54 173.73 0.22
3 13 -21.9 1.35 -70.58 1.22
3 14 38.64 1.07 -22.73 0.92
3 15 147.06 0.75 36.09 0.71
3 16 37.29 1.2 -71.48 1.11
3 17 32.05 1.02 41.42 0.89
3 18 83.96 0.93 88.73 1.1
3 19 -68.33 1.68 218.5 0.59
3 20 410.48 0.48 608.47 -0.06
4 1 12.82 1.06 25.55 0.71
4 2 9.19 1.2 18.05 1.06
4 3 9.54 1.27 25.11 1
4 4 -0.34 1.59 5.55 2.04
4 5 2.86 1.51 14.91 1.38
4 6 6.12 1.29 17.13 0.94
4 7 22.88 1.06 49.29 0.46
4 8 115.77 0.19 185.78 -0.77
4 9 37.68 0.96 74.66 0.34
4 10 232.6 -0.2 203.91 -0.41
4 11 80.22 0.75 89.99 0.31
4 12 368.94 -0.69 464.2 -1.6
4 13 150.03 0.4 183.05 -0.14
4 14 119.39 0.68 95.91 0.38
4 15 316.2 0.02 244.04 -0.12
4 16 79.84 1.02 -12.53 0.91
4 17 55.34 0.82 70.64 0.41
4 18 119.46 0.96 128.54 1.05
4 19 -17.53 1.85 436.56 -0.28
